Site,Year,Month,EPFU,EPFULANO,LABO,LABOMYLU,LABOPESU,LACI,LACILANO,LANO,MYLU,MYLUMYSE,MYSE,PESU,40kMyo,HIGH FREQUENCY,LOW FREQUENCY,NoID,FB,SC,Noise
NRCAN-Coriolis,2025,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4285
NRCAN-Discovery_MainMastUnit1,2024,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520
NRCAN-Discovery_MetMastA,2024,September,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,332
NRCAN-Discovery_MetMastB,2024,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
NS-BOF-ISL-Brier,2025,August,1,0,7,0,0,0,0,43,0,0,0,0,0,0,59,0,166,0,806
NS-BOF-ISL-Brier,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8677
NS-BOF-ISL-Brier,2025,November,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19011
NS-BOF-ISL-Brier,2025,October,0,0,4,0,0,0,0,2,0,0,0,0,0,0,4,0,1,0,10850
NS-BOF-ISL-Brier,2025,September,2,0,14,0,0,23,0,16,0,0,0,0,0,3,23,0,14,0,4250
NS-CBH-CST-CapeGeorge,2025,August,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9556
NS-CBH-CST-CapeGeorge,2025,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669
NS-CBH-CST-CapeGeorge,2025,September,0,0,8,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,14521
NS-ESS-ISL-O-SableIsland,2025,August,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1036
NS-ESS-ISL-O-SableIsland,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
NS-ESS-ISL-O-SableIsland,2025,July,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,202
NS-ESS-ISL-O-SableIsland,2025,November,0,0,1,0,0,0,0,17,0,0,0,0,0,0,14,0,0,0,1609
NS-ESS-ISL-O-SableIsland,2025,October,0,0,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,0,2434
NS-ESS-ISL-O-SableIsland,2025,September,1,0,1,0,0,0,0,9,0,0,0,0,0,0,26,0,4,0,824
NS-LOB-CST-CapeForchu,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12241
NS-LOB-CST-CapeForchu,2025,October,0,0,8,0,0,0,0,2,0,0,0,1,0,3,1,0,1,0,9062
NS-LOB-CST-CapeForchu,2025,September,0,0,22,0,0,1,0,13,0,0,1,1,0,6,24,0,0,0,1911
NS-LOB-CST-PinkneyPoint,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
NS-LOB-CST-PinkneyPoint,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
NS-LOB-CST-PinkneyPoint,2025,October,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,136
NS-LOB-CST-PinkneyPoint,2025,September,0,0,2,0,0,0,0,66,0,0,0,0,0,0,50,0,90,0,106
NS-LOB-CST-PinkneyPoint,2026,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
NS-LOB-CST-SwimsPoint,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716
NS-LOB-CST-SwimsPoint,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818
NS-LOB-CST-SwimsPoint,2025,October,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,484
NS-LOB-CST-SwimsPoint,2025,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,58
NS-LOB-CST-SwimsPoint,2026,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NS-OBF-CST-BoarsHead,2025,August,1,0,3,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,181
NS-OBF-CST-BoarsHead,2025,July,0,0,5,0,0,0,0,2,1,0,0,0,0,1,5,0,0,0,486
NS-OBF-CST-BoarsHead,2025,June,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,120
NS-OBF-CST-BoarsHead,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NS-OBF-CST-BoarsHead,2025,September,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NS-SCA-CST-MainaDieu,2025,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3201
NS-SCA-CST-MainaDieu,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283
NS-SCA-CST-MainaDieu,2025,October,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,497
NS-SCA-CST-MainaDieu,2026,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770
VES-NOC-RRS-JamesCook-MAIN,2025,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190
VES-NOC-RRS-JamesCook-MAIN,2025,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493
VES-NOC-RRS-JamesCook-MAIN,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
VES-NOC-RRS-JamesCook-MET,2025,September,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811
VES-NOC-RRS-JamesCook-MET,2025,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591
VES-NOC-RRS-JamesCook-MET,2025,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310
